,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
0,Almacenes Rodríguez,MADRID,28013,SOL,CENTRO,40.419716000547446,-3.700924275126349
1,Antigua Fábrica Martini &amp; Rossi,MADRID,28022,REJAS,SAN BLAS-CANILLEJAS,40.44948771515711,-3.584671881140041
2,Ateneo de Madrid,MADRID,28014,CORTES,CENTRO,40.41539811494639,-3.698368894119228
3,Banco Bilbao Vizcaya Argentaria,MADRID,28014,CORTES,CENTRO,40.41734582990031,-3.69956773930541
4,Banco de España,MADRID,28014,CORTES,CENTRO,40.418075647306665,-3.6950725920539
5,Banco Matritense,MADRID,28004,JUSTICIA,CENTRO,40.42015262123508,-3.7002333412022166
6,Basílica Pontificia de San Miguel,MADRID,28005,PALACIO,CENTRO,40.41420531493721,-3.709661482525444
7,Biblioteca Central de la UNED Madrid,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.43267260040589,-3.731936574991669
8,Biblioteca Pública Usera José Hierro,MADRID,28026,PRADOLONGO,USERA,40.38188230129181,-3.7106157111470615
9,Bolsa de Madrid,MADRID,28014,LOS JERONIMOS,RETIRO,40.416869058196646,-3.692164119088312
10,CaixaForum,MADRID,28014,CORTES,CENTRO,40.41100296472787,-3.6933720637143432
11,Capilla de San Isidro en la Iglesia de San Andrés,MADRID,28005,PALACIO,CENTRO,40.41208167798535,-3.710809418427343
12,Casa Árabe (antiguas Escuelas Aguirre),MADRID,28009,RECOLETOS,SALAMANCA,40.42175951375861,-3.682116545097765
13,Casa de la Villa,MADRID,28005,PALACIO,CENTRO,40.41519930383812,-3.7106114421853977
14,Casa de las Alhajas. Antigua Caja de Ahorros,MADRID,28013,SOL,CENTRO,40.418158551935534,-3.706959077187231
15,Casa de las Flores,MADRID,28015,GAZTAMBIDE,CHAMBERI,40.43200253545766,-3.7165599011833264
16,Casa del cura de la iglesia de San José,MADRID,28014,JUSTICIA,CENTRO,40.41918184340614,-3.696887446468761
17,"Casa Sindical (actual sede del Ministerio de Sanidad, Servicios Sociales e Igualdad)",MADRID,28014,CORTES,CENTRO,40.41373002816207,-3.694028861618601
18,Casino de Madrid,MADRID,28014,SOL,CENTRO,40.41777541448619,-3.7002800119895514
19,Casita Del Príncipe (El Pardo),MADRID,28048,EL PARDO,FUENCARRAL-EL PARDO,40.52371356289907,-3.779372266368464
20,Cementerio de la Almudena,MADRID,28017,VENTAS,CIUDAD LINEAL,40.42662313663575,-3.646155575001071
21,"Central Eléctrica del Pacífico, talleres y oficinas del Metro",MADRID,28007,PACIFICO,RETIRO,40.40400482713434,-3.67446882338924
22,Centro Cultural Daoíz y Velarde,MADRID,28007,PACIFICO,RETIRO,40.40180567689773,-3.6771876805396864
23,Centro Cultural La Corrala (sede del Museo de Artes y Tradiciones Populares),MADRID,28005,EMBAJADORES,CENTRO,40.408827275648434,-3.7083241323093614
24,Centro del Ejército y la Armada (Casino Militar),MADRID,28013,SOL,CENTRO,40.41952374105568,-3.699943922067412
25,Cine Avenida,MADRID,0,SOL,CENTRO,40.419924992685935,-3.7050756479788833
26,Cine Callao,MADRID,28013,SOL,CENTRO,40.419980785676174,-3.706266769929261
27,Cine Gran Vía y Hotel Vincci,MADRID,0,UNIVERSIDAD,CENTRO,40.42256029007748,-3.7087338575144777
28,Círculo de Bellas Artes,MADRID,28014,CORTES,CENTRO,40.41817509525873,-3.69651165491942
29,Círculo de la Unión Mercantil e Industrial,MADRID,28004,JUSTICIA,CENTRO,40.42026644620261,-3.700776749697362
30,Ciudad Universitaria de Madrid,MADRID,0,,DISTRITO,40.45817141810368,-3.725441604547437
31,Colegio de Nuestra Señora de Loreto. Madres Ursulinas,MADRID,28001,GOYA,SALAMANCA,40.42809511698824,-3.679715364244469
32,Colegio Mayor Casa do Brasil,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,40.43853583084271,-3.725291575765517
33,Colegio Nuestra Señora del Pilar,MADRID,28001,RECOLETOS,SALAMANCA,40.42828467450708,-3.6811529345648615
34,Colegio Oficial de Arquitectos de Madrid,MADRID,28004,JUSTICIA,CENTRO,40.42408121377881,-3.698490642429576
35,Complejo El Águila,MADRID,28045,DELICIAS,ARGANZUELA,40.399909791771385,-3.690036015115312
36,Congreso de los Diputados,MADRID,28014,CORTES,CENTRO,40.41641794374934,-3.696576042868583
37,Convento de las Comendadoras y parroquia de Santiago el Mayor,MADRID,28015,UNIVERSIDAD,CENTRO,40.42740150087395,-3.708938288104488
38,Cuartel del Conde Duque,MADRID,28015,UNIVERSIDAD,CENTRO,40.427509974454416,-3.711061057617866
39,Edificio Bankinter,MADRID,28046,ALMAGRO,CHAMBERI,40.43071965314907,-3.68950836611669
40,Edificio Bankunión (Parlamento Europeo y Embajada de Irlanda),MADRID,28046,CASTELLANA,SALAMANCA,40.43420552208373,-3.687873799805069
41,Edificio Carrión (Capitol),MADRID,28013,PALACIO,CENTRO,40.42038314116203,-3.706766056524687
42,Edificio Coliseum (Teatro Coliseum),MADRID,28013,UNIVERSIDAD,CENTRO,40.4232376492877,-3.7102689441860126
43,Edificio de 20 viviendas en calle Cervantes,MADRID,28014,CORTES,CENTRO,40.41426942327938,-3.696078069568077
44,Edificio de La Unión y el Fénix,MADRID,0,UNIVERSIDAD,CENTRO,40.422647917090806,-3.709135568642842
45,Edificio de Los Previsores del Porvenir,MADRID,28013,CORTES,CENTRO,40.41916316149634,-3.698490337359729
46,Edificio de Oficinas y Apartamentos,MADRID,0,PALACIO,CENTRO,40.42053455529419,-3.7070505439234185
47,Edificio de Viviendas en la calle Hilarión Eslava,MADRID,28015,GAZTAMBIDE,CHAMBERI,40.433285976618926,-3.716499013420872
48,Edificio Girasol,MADRID,28006,CASTELLANA,SALAMANCA,40.43092747841812,-3.6846446338833183
49,Edificio Gran Peña,MADRID,28004,JUSTICIA,CENTRO,40.41935051716017,-3.697301746425403
50,Edificio Hostal Lauria,MADRID,0,UNIVERSIDAD,CENTRO,40.420970348006776,-3.706501085101446
51,Edificio La Adriática,MADRID,0,SOL,CENTRO,40.41999533487041,-3.7053592829015214
52,Edificio Los Sótanos,MADRID,0,PALACIO,CENTRO,40.42197213857804,-3.7091520478716
53,Edificio Los Sótanos,MADRID,0,PALACIO,CENTRO,40.42174779477392,-3.709008238044509
54,Edificio Los Sótanos y Teatro Lope de Vega,MADRID,0,PALACIO,CENTRO,40.42153310961759,-3.7087584404681806
55,Edificio Matesanz,MADRID,28013,SOL,CENTRO,40.41983067032157,-3.7028114644082746
56,Edificio Metrópolis,MADRID,28014,CORTES,CENTRO,40.41871024079712,-3.6974552127875446
57,Edificio para el Banco Urquijo,MADRID,28004,JUSTICIA,CENTRO,40.41943002922452,-3.6975618907685255
58,Edificio Rialto,MADRID,28004,UNIVERSIDAD,CENTRO,40.42141709585185,-3.7071069351758537
59,Edificio Telefónica,MADRID,28013,UNIVERSIDAD,CENTRO,40.42021381353114,-3.702045729504309
60,Edificio Vita,MADRID,0,UNIVERSIDAD,CENTRO,40.42222006385312,-3.708388437363429
61,Edificio Vitalicio,MADRID,28013,PALACIO,CENTRO,40.42305180954051,-3.71084907791347
62,Edificio y Cine Pompeya,MADRID,0,UNIVERSIDAD,CENTRO,40.42280855064068,-3.7093848037700505
63,Edificios Los Sótanos. Hotel Emperador,MADRID,28013,PALACIO,CENTRO,40.42136433290127,-3.7083676730256903
64,Ermita de la Virgen del Puerto,MADRID,28005,PALACIO,CENTRO,40.41556783900282,-3.721135107165399
65,Ermita de San Antonio de la Florida,MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.425614559049066,-3.7260819285571833
66,Ermita de Santa Maria la Antigua,MADRID,28047,VISTA ALEGRE,CARABANCHEL,40.38249753936885,-3.752510480692841
67,Escuelas Pías de San Fernando (Biblioteca  y centro de la UNED),MADRID,28012,EMBAJADORES,CENTRO,40.40803440320469,-3.703466938452617
68,Estación de Atocha,MADRID,28045,ATOCHA,ARGANZUELA,40.40792245547035,-3.6923116993889695
69,Fundación Francisco Giner de los Ríos,MADRID,28010,ALMAGRO,CHAMBERI,40.43487749572997,-3.696810843113834
70,Fundación Juan March,MADRID,28006,CASTELLANA,SALAMANCA,40.43122422239439,-3.681123764267725
