,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
0,Casa Museo Lope de Vega,MADRID,28014,CORTES,CENTRO,40.41435846655524,-3.6974741545860015
1,Casita - Museo del Ratón Pérez,MADRID,28013,SOL,CENTRO,40.4170597715272,-3.705519933444249
2,Castillo de la Alameda,MADRID,28042,ALAMEDA DE OSUNA,BARAJAS,40.45835460563491,-3.5932903820278788
3,Casón del Buen Retiro.,MADRID,28014,LOS JERONIMOS,RETIRO,40.41527545361461,-3.689222446432277
4,Centro Cultural La Corrala. Museo de Artes y Tradiciones Populares,MADRID,28005,EMBAJADORES,CENTRO,40.408827275648434,-3.7083241323093614
5,Ermita de San Antonio de la Florida (Museo),MADRID,28008,CASA DE CAMPO,MONCLOA-ARAVACA,40.425256682855846,-3.725725718176111
6,Espacio Fundación Telefónica,MADRID,28004,UNIVERSIDAD,CENTRO,40.42042493125648,-3.701594573150366
7,Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,40.45546180290319,-3.7705836264842576
8,La Casa Encendida de la Fundación Montemadrid,MADRID,28012,EMBAJADORES,CENTRO,40.40596221830597,-3.6997720739017033
9,Museo ABC,MADRID,28015,UNIVERSIDAD,CENTRO,40.42741121610518,-3.709539260414957
10,Museo Africano Misioneros Combonianos,MADRID,28043,SAN JUAN BAUTISTA,CIUDAD LINEAL,40.449464654033605,-3.65149172790308
11,Museo Arqueológico Nacional,MADRID,28001,RECOLETOS,SALAMANCA,40.4232789604228,-3.688412123509053
12,Museo Casa de la Moneda,MADRID,28028,GOYA,SALAMANCA,40.42260021542579,-3.669139860245996
13,Museo Cerralbo,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,40.42377925205143,-3.714599606357376
14,Museo EMT,MADRID,28046,CASTILLA,CHAMARTIN,40.48017361286031,-3.6831595451893273
15,Museo Félix Cañada,MADRID,28003,RIOS ROSAS,CHAMBERI,40.442581673356834,-3.700796192332983
16,Museo Geominero,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44204795207367,-3.699670468881422
17,Museo Histórico Minero Don Felipe de Borbón y Grecia,MADRID,28003,RIOS ROSAS,CHAMBERI,40.44209227424258,-3.700373464615154
18,Museo ICO,MADRID,28014,CORTES,CENTRO,40.41676546905435,-3.697722260547764
19,Museo Los Caños del Peral. Estación de Metro Ópera,MADRID,28013,PALACIO,CENTRO,40.41775560280743,-3.709202070089538
20,Museo Lázaro Galdiano,MADRID,28006,CASTELLANA,SALAMANCA,40.43675032872599,-3.686198012920789
21,Museo Nacional Centro de Arte Reina Sofía (MNCARS),MADRID,28012,EMBAJADORES,CENTRO,40.40864029339671,-3.693950410329325
22,Museo Nacional Thyssen-Bornemisza,MADRID,28014,CORTES,CENTRO,40.41601631762229,-3.694738346891257
23,Museo Nacional de Antropología,MADRID,28014,LOS JERONIMOS,RETIRO,40.40788753767772,-3.688862923660605
24,Museo Nacional de Artes Decorativas,MADRID,28014,LOS JERONIMOS,RETIRO,40.417896616053866,-3.689754509701677
25,Museo Nacional de Ciencias Naturales,MADRID,28006,EL VISO,CHAMARTIN,40.44042600324054,-3.690212174964136
26,Museo Naval,MADRID,28014,LOS JERONIMOS,RETIRO,40.41781777653844,-3.6927096854547727
27,Museo Postal y Telegráfico,MADRID,28023,VALDEMARIN,MONCLOA-ARAVACA,40.46772394620028,-3.769076951216305
28,Museo Sorolla,MADRID,28010,ALMAGRO,CHAMBERI,40.43525811195212,-3.69257053914393
29,Museo Taurino de la Comunidad de Madrid,MADRID,28028,GUINDALERA,SALAMANCA,40.43157110306013,-3.662872780933851
30,Museo Tiflológico,MADRID,28020,CUATRO CAMINOS,TETUAN,40.45525267846033,-3.700169379369277
31,Museo de Aeronáutica y Astronáutica,MADRID,28024,CUATRO VIENTOS,LATINA,40.37362,-3.80843
32,Museo de América,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,40.43793725485899,-3.7218544182655786
33,Museo de Arte Contemporáneo de Madrid,MADRID,28015,CENTRO,CENTRO,40.42737760210632,-3.7106116887809817
34,Museo de Astronomía y Geodesia,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,40.44945850908754,-3.7259383636708434
35,Museo de Bomberos de Madrid,MADRID,28038,NUMANCIA,PUENTE DE VALLECAS,40.39453171263195,-3.6539313207612207
36,Museo de Calcografía Nacional,MADRID,28014,SOL,CENTRO,40.4176555144213,-3.7006500629589394
37,Museo de Cera,MADRID,28004,JUSTICIA,CENTRO,40.42448764583997,-3.6913807191328303
38,Museo de Escultura al Aire Libre de la Castellana,MADRID,28046,CASTELLANA,SALAMANCA,40.43321939867116,-3.687612268080596
39,Museo de Historia de Madrid,MADRID,28004,JUSTICIA,CENTRO,40.42577054821346,-3.700845660719608
